Titre | Auteur | Categorie
Le seigneur des anneaux t.1; la fraternité de l'anneau| J.R.R. Tolkien | fantasy
Harry Potter t.1; Harry Potter à l'école des sorciers | J. K. Rowling | Roman/Fantasy
A la recherche du temps perdu | Marcel Proust | Littérature générale
1984 | George Orwell | Science fiction
L'étranger | Albert Camus | Littérature générale
Les misérables | Victor Hugo | Littérature générale
Orgueil et préjugés | Jane Austen | Littérature générale
Le comte de Monte-Cristo | Alexandre Dumas | Littérature générale
Madame Bovary | Gustave Flaubert | Littérature générale
Le petit prince | Antoine de Saint-Exupéry | Littérature enfant
Le rouge et le noir | Stendhal | Littérature générale
Les raisins de la colère | John Steinbeck | Littérature générale
